Año,Inflación precios al consumidor (% anual),PIB (millones US$),Crecimiento del PIB (% anual),Gasto en investigación y desarrollo (% del PIB),Gasto público en educación total (% del PIB),Gasto militar (% del PIB),Gasto corriente en salud (% del PIB),Gasto (% del PIB)
1960,5.81,4031,,,,1.88,,
1961,8.28,4540,5.09,,,2.14,,
1962,4.7,4956,5.41,,,3.1,,
1963,26.36,4836,3.29,,,3.52,,
1964,17.07,5973,6.17,,,3.18,,
1965,7.59,5761,3.6,,,3.19,,
1966,16.73,5429,5.24,,,3.17,,
1967,8.33,5825,4.13,,,3.12,,
1968,7.45,5960,5.93,,,2.39,,
1969,6.98,6450,6.1,,,2.05,,
1970,6.91,7198,6.21,,,2.26,,
1971,11.94,7820,5.96,,,3.37,,
1972,12.44,8671,7.67,,,1.97,,
1973,22.53,10316,6.72,,,1.69,,
1974,23.87,12370,5.75,,,1.58,,
1975,23.44,13099,2.32,,,1.74,,
1976,19.83,15341,4.73,,,1.49,,
1977,33.8,19471,4.16,,,1.44,,
1978,17.76,23264,8.47,,,1.55,,
1979,24.13,27940,5.38,,1.75,1.67,,
1980,26.55,33401,4.09,,1.73,1.83,,
1981,27.45,36388,2.28,,2.6,1.76,,
1982,24.72,38968,0.95,,0,1.71,,
1983,19.6,38730,1.57,,0,2.22,,
1984,16.16,38253,3.35,,3,2.33,,
1985,24.09,34894,3.11,,2.72,2.05,,
1986,18.84,34942,5.82,,0,1.94,,
1987,23.3,36373,5.37,,0,1.98,,
1988,28.11,39213,4.06,,0,2.2,,
1989,25.87,39540,3.41,,2.71,2.19,,
1990,29.15,47844,4.28,,0,1.86,,
1991,30.39,49638,2,,0,1.85,,
1992,27.01,58394,4.04,,0,2.11,,
1993,22.44,66474,5.39,,0,2.53,,
1994,22.85,81705,5.81,,0,2.51,,
1995,20.89,92496,5.2,,0,2.83,,
1996,20.8,97153,2.06,,0,4.45,,
1997,18.47,106656,3.43,,0,2.8,,
1998,18.68,98486,0.57,,3.93,3.44,,19.32
1999,10.87,86279,-4.2,,4.44,3.76,,22.12
2000,9.23,99875,2.92,0.13,3.51,3.03,5.64,16.93
2001,7.97,98201,1.68,0.13,3.71,3.32,5.94,
2002,6.35,97946,2.5,0.16,0,3.42,5.73,
2003,7.13,94645,3.92,0.17,0,3.46,5.78,27.62
2004,5.9,117092,5.33,0.17,0,3.47,5.8,
2005,5.05,145601,4.83,0.17,0,3.37,6.07,
2006,4.29,161793,6.72,0.16,0,3.3,6.34,
2007,5.54,206230,6.74,0.18,0,3.29,6.49,
2008,7,242504,3.28,0.2,0,3.74,6.84,24.57
2009,4.2,232469,1.14,0.19,0,3.89,7.31,24.73
2010,2.27,286499,4.49,0.19,0,3.64,7.07,25.4
2011,3.42,334966,6.95,0.2,0,3.08,6.78,24.22
2012,3.17,370691,3.91,0.22,0,3.16,6.75,25.03
2013,2.02,382094,5.13,0.26,0,3.27,7.02,33.29
2014,2.9,381241,4.5,0.3,0,3.11,7.19,30.16
2015,4.99,293492,2.96,0.37,0,3.11,7.52,26.82
2016,7.51,282720,2.09,0.27,0,3.07,7.53,28.63
2017,4.31,311867,1.36,0.26,0,3.21,7.68,27.5
2018,3.24,334198,2.56,0.31,0,3.03,7.63,29.97
2019,3.52,323032,3.19,0.32,0,3.15,7.78,31.3
2020,2.53,270348,-7.19,0.29,0,3.53,8.71,36.55
2021,3.5,318525,10.8,,0,3.24,9.02,35.66
2022,10.18,345330,7.29,,0,3.08,,32.73
2023,11.74,363494,0.61,,,,,
